10/1/2025		Tram1	1	57.2
10/1/2025		Tram1	2	56.8
10/1/2025		Tram1	3	56.5
10/1/2025		Tram1	4	56.7
10/1/2025		Tram1	5	57
10/1/2025		Tram1	6	58.1
10/1/2025		Tram1	7	59.9
10/1/2025		Tram1	8	61.4
10/1/2025		Tram1	9	62.2
10/1/2025		Tram1	10	63.2
10/1/2025		Tram1	11	66.6
10/1/2025		Tram1	12	65.4
10/1/2025		Tram1	13	66.9
10/1/2025		Tram1	14	66.1
10/1/2025		Tram1	15	63.7
10/1/2025	Tram1	16	61.2
10/1/2025	Tram1	17	61.3
10/1/2025	Tram1	18	59.1
10/1/2025	Tram1	19	58.5
10/1/2025	Tram1	20	58
10/1/2025	Tram1	21	57.7
10/1/2025	Tram1	22	57.3
10/1/2025	Tram1	23	57
10/1/2025	Tram1	24	56.9
10/2/2025	Tram1	1	56.6
10/2/2025	Tram1	2	56.3
10/2/2025	Tram1	3	56.1
10/2/2025	Tram1	4	56
10/2/2025	Tram1	5	56.2
10/2/2025	Tram1	6	56.5
10/2/2025	Tram1	7	57.1
10/2/2025	Tram1	8	58
10/2/2025	Tram1	9	59.2
10/2/2025	Tram1	10	60.5
10/2/2025	Tram1	11	61.8
10/2/2025	Tram1	12	62.5
10/2/2025	Tram1	13	63
10/2/2025	Tram1	14	62.4
10/2/2025	Tram1	15	61.5
10/2/2025	Tram1	16	60.7
10/2/2025	Tram1	17	59.8
10/2/2025	Tram1	18	59
10/2/2025	Tram1	19	58.4
10/2/2025	Tram1	20	58
10/2/2025	Tram1	21	57.6
10/2/2025	Tram1	22	57.2
10/2/2025	Tram1	23	56.9
10/2/2025	Tram1	24	56.7
10/3/2025	Tram1	1	58
10/3/2025	Tram1	2	57.8
10/3/2025	Tram1	3	57.5
10/3/2025	Tram1	4	57.6
10/3/2025	Tram1	5	57.9
10/3/2025	Tram1	6	58.5
10/3/2025	Tram1	7	59.2
10/3/2025	Tram1	8	60.5
10/3/2025	Tram1	9	62
10/3/2025	Tram1	10	63.5
10/3/2025	Tram1	11	65
10/3/2025	Tram1	12	66.2
10/3/2025	Tram1	13	66.5
10/3/2025	Tram1	14	65.8
10/3/2025	Tram1	15	64.9
10/3/2025	Tram1	16	63.7
10/3/2025	Tram1	17	62.5
10/3/2025	Tram1	18	61.4
10/3/2025	Tram1	19	60.8
10/3/2025	Tram1	20	60.1
10/3/2025	Tram1	21	59.6
10/3/2025	Tram1	22	59.1
10/3/2025	Tram1	23	58.7
10/3/2025	Tram1	24	58.2
10/4/2025	Tram1	1	57.9
10/4/2025	Tram1	2	57.6
10/4/2025	Tram1	3	57.2
10/4/2025	Tram1	4	57
10/4/2025	Tram1	5	57.1
10/4/2025	Tram1	6	57.5
10/4/2025	Tram1	7	58
10/4/2025	Tram1	8	59.1
10/4/2025	Tram1	9	60.3
10/4/2025	Tram1	10	61.7
10/4/2025	Tram1	11	62.9
10/4/2025	Tram1	12	63.8
10/4/2025	Tram1	13	64.1
10/4/2025	Tram1	14	63.5
10/4/2025	Tram1	15	62.7
10/4/2025	Tram1	16	61.8
10/4/2025	Tram1	17	60.9
10/4/2025	Tram1	18	60
10/4/2025	Tram1	19	59.5
10/4/2025	Tram1	20	59.1
10/4/2025	Tram1	21	2/27/1900
10/4/2025	Tram1	22	58.4
10/4/2025	Tram1	23	58.1
10/4/2025	Tram1	24	58
10/5/2025	Tram1	1	57.8
10/5/2025	Tram1	2	57.5
10/5/2025	Tram1	3	57.1
10/5/2025	Tram1	4	56.9
10/5/2025	Tram1	5	57
10/5/2025	Tram1	6	57.4
10/5/2025	Tram1	7	58.1
10/5/2025	Tram1	8	59.3
10/5/2025	Tram1	9	60.8
10/5/2025	Tram1	10	62.4
10/5/2025	Tram1	11	63.9
10/5/2025	Tram1	12	64.8
10/5/2025	Tram1	13	65.2
10/5/2025	Tram1	14	64.6
10/5/2025	Tram1	15	63.7
10/5/2025	Tram1	16	62.6
10/5/2025	Tram1	17	61.5
10/5/2025	Tram1	18	60.7
10/5/2025	Tram1	19	60.1
10/5/2025	Tram1	20	59.6
10/5/2025	Tram1	21	59
10/5/2025	Tram1	22	58.6
10/5/2025	Tram1	23	58.3
10/5/2025	Tram1	24	58.1
10/6/2025	Tram1	1	57.9
10/6/2025	Tram1	2	57.6
10/6/2025	Tram1	3	57.3
10/6/2025	Tram1	4	57.1
10/6/2025	Tram1	5	57.3
10/6/2025	Tram1	6	57.7
10/6/2025	Tram1	7	58.4
10/6/2025	Tram1	8	59.6
10/6/2025	Tram1	9	61
10/6/2025	Tram1	10	62.6
10/6/2025	Tram1	11	64.1
10/6/2025	Tram1	12	65
10/6/2025	Tram1	13	65.4
10/6/2025	Tram1	14	64.7
10/6/2025	Tram1	15	63.8
10/6/2025	Tram1	16	62.7
10/6/2025	Tram1	17	61.6
10/6/2025	Tram1	18	60.8
10/6/2025	Tram1	19	60.2
10/6/2025	Tram1	20	59.7
10/6/2025	Tram1	21	59.1
10/6/2025	Tram1	22	58.7
10/6/2025	Tram1	23	58.4
10/6/2025	Tram1	24	58.2
10/7/2025	Tram1	1	58
10/7/2025	Tram1	2	57.7
10/7/2025	Tram1	3	57.4
10/7/2025	Tram1	4	57.2
10/7/2025	Tram1	5	57.4
10/7/2025	Tram1	6	57.8
10/7/2025	Tram1	7	58.5
10/7/2025	Tram1	8	59.8
10/7/2025	Tram1	9	61.3
10/7/2025	Tram1	10	62.9
10/7/2025	Tram1	11	64.5
10/7/2025	Tram1	12	65.5
10/7/2025	Tram1	13	66
10/7/2025	Tram1	14	65.3
10/7/2025	Tram1	15	64.3
10/7/2025	Tram1	16	63.1
10/7/2025	Tram1	17	62
10/7/2025	Tram1	18	61.1
10/7/2025	Tram1	19	60.5
10/7/2025	Tram1	20	59.9
10/7/2025	Tram1	21	59.3
10/7/2025	Tram1	22	58.9
10/7/2025	Tram1	23	58.6
10/7/2025	Tram1	24	58.4
